Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J11,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,128.931,-65.3,-90.0,top
J12,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,120.806,-65.3,-90.0,top
J13,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,112.838,-65.3,-90.0,top
J14,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,105.231,-65.3,-90.0,top
J15,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,96.887,-48.15,-90.0,top
J16,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,105.331,-48.125,-90.0,top
J17,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,96.887,-60.25,-90.0,top
